Date,Close,Open,High,Low,Change,Volume
2020-11-02,12.7,12.1,12.7,12.1,0.80 (6.72 %),4554800
2020-10-30,11.9,11.7,11.95,11.7,0.25 (2.15 %),2789410
2020-10-29,11.65,11.5,11.85,11.35,0.15 (1.30 %),3091820
2020-10-28,11.5,11.6,11.95,11.5,-0.75 (-6.12 %),3098260
2020-10-27,12.25,12.55,12.55,12.25,-0.30 (-2.39 %),1847470
2020-10-26,12.55,12.8,12.9,12.55,-0.25 (-1.95 %),1648640
2020-10-23,12.8,12.6,13.0,12.6,0.20 (1.59 %),3964710
2020-10-22,12.6,12.4,12.6,12.3,0.20 (1.61 %),2240150
2020-10-21,12.4,12.5,12.75,12.4,-0.05 (-0.40 %),3619400
2020-10-20,12.45,12.3,12.45,12.25,0.05 (0.40 %),2369750
2020-10-19,12.4,12.6,12.75,12.35,-0.15 (-1.20 %),2381220
2020-10-16,12.55,12.15,12.8,11.9,0.55 (4.58 %),10014980
2020-10-15,12.0,12.05,12.15,11.95,0.05 (0.42 %),4456120
2020-10-14,11.95,12.0,12.05,11.8,-0.05 (-0.42 %),1474130
2020-10-13,12.0,11.85,12.05,11.7,0.05 (0.42 %),2969200
2020-10-12,11.95,12.1,12.2,11.85,-0.15 (-1.24 %),3954970
2020-10-09,12.1,12.2,12.25,11.95,0.00 (0.00 %),1690980
2020-10-08,12.1,11.75,12.25,11.55,0.40 (3.42 %),7706100
2020-10-07,11.7,11.9,11.95,11.7,-0.30 (-2.50 %),2431200
2020-10-06,12.0,12.2,12.2,11.85,-0.10 (-0.83 %),2117120
2020-10-05,12.1,12.1,12.1,11.75,0.40 (3.42 %),4798530
2020-10-02,11.7,11.7,11.75,11.1,-0.05 (-0.43 %),5484570
2020-10-01,11.75,11.8,12.0,11.4,-0.10 (-0.84 %),3824540
2020-09-30,11.85,11.8,12.1,11.4,0.15 (1.28 %),3759410
2020-09-29,11.7,11.3,11.7,11.25,0.75 (6.85 %),9543880
2020-09-28,10.95,10.4,10.95,10.4,0.70 (6.83 %),6234180
2020-09-25,10.25,10.2,10.25,10.1,0.10 (0.99 %),2176900
2020-09-24,10.15,10.1,10.25,10.05,-0.05 (-0.49 %),2024220
2020-09-23,10.2,10.3,10.35,10.05,-0.05 (-0.49 %),2143160
2020-09-22,10.25,10.0,10.25,9.99,0.26 (2.60 %),2776360
2020-09-21,9.99,10.35,10.45,9.97,-0.26 (-2.54 %),3159880
2020-09-18,10.25,10.0,10.35,9.98,0.20 (1.99 %),2271970
2020-09-17,10.05,10.1,10.2,9.91,-0.05 (-0.50 %),2661050
2020-09-16,10.1,10.0,10.25,9.83,0.05 (0.50 %),2348500
2020-09-15,10.05,10.0,10.4,9.99,0.10 (1.01 %),4518800
2020-09-14,9.95,9.48,9.95,9.41,0.55 (5.85 %),5746950
2020-09-11,9.4,9.35,9.47,9.29,0.05 (0.53 %),2007190
2020-09-10,9.35,9.47,9.5,9.33,-0.04 (-0.43 %),1431220
2020-09-09,9.39,9.07,9.47,9.07,0.28 (3.07 %),3964000
2020-09-08,9.11,9.15,9.18,9.07,0.01 (0.11 %),958720
2020-09-07,9.1,9.17,9.3,9.1,-0.07 (-0.76 %),2102690
2020-09-04,9.17,9.12,9.2,9.06,-0.08 (-0.86 %),1607750
2020-09-03,9.25,9.34,9.39,9.19,-0.05 (-0.54 %),1850680
2020-09-01,9.3,9.28,9.35,9.2,0.01 (0.11 %),1030970
2020-08-31,9.29,9.11,9.59,9.04,0.18 (1.98 %),3294400
2020-08-28,9.11,9.22,9.26,9.11,-0.06 (-0.65 %),1830890
2020-08-27,9.17,9.16,9.27,9.12,0.06 (0.66 %),1841680
2020-08-26,9.11,9.03,9.19,8.97,0.03 (0.33 %),2859570
