Stock,B,S,G,BB,BS,BG
NRC,114.0,122.0,-8.0,0.0,1.0,-1.0
NSH,42.0,71.0,-29.0,0.0,0.0,0.0
NT2,82.0,252.0,-170.0,0.0,0.0,0.0
NTC,98.0,74.0,24.0,3.0,0.0,3.0
NTL,227.0,324.0,-97.0,0.0,0.0,0.0
NVB,828.0,642.0,186.0,14.0,6.0,8.0
NVL,203.0,266.0,-63.0,14.0,17.0,-3.0
OGC,178.0,212.0,-34.0,0.0,0.0,0.0
OIL,1496.0,660.0,836.0,6.0,7.0,-1.0
ORS,119.0,233.0,-114.0,0.0,9.0,-9.0
PAN,366.0,179.0,187.0,0.0,3.0,-3.0
PAS,179.0,57.0,122.0,0.0,0.0,0.0
PC1,138.0,157.0,-19.0,0.0,0.0,0.0
PDR,585.0,385.0,200.0,147.0,89.0,58.0
PET,1031.0,619.0,412.0,2.0,0.0,2.0
PFL,81.0,60.0,21.0,0.0,0.0,0.0
PHC,38.0,34.0,4.0,0.0,0.0,0.0
PHR,477.0,280.0,197.0,1.0,0.0,1.0
PLC,305.0,147.0,158.0,0.0,0.0,0.0
PLP,57.0,72.0,-15.0,0.0,0.0,0.0
PLX,1136.0,991.0,145.0,37.0,27.0,10.0
PNJ,154.0,330.0,-176.0,0.0,1.0,-1.0
POM,164.0,90.0,74.0,0.0,0.0,0.0
POW,3503.0,2409.0,1094.0,16.0,10.0,6.0
PPC,59.0,101.0,-42.0,0.0,0.0,0.0
PSH,76.0,44.0,32.0,0.0,0.0,0.0
PTB,29.0,50.0,-21.0,0.0,0.0,0.0
PVB,323.0,149.0,174.0,1.0,0.0,1.0
PVC,725.0,449.0,276.0,8.0,1.0,7.0
PVD,3639.0,2628.0,1011.0,39.0,11.0,28.0
PVI,29.0,30.0,-1.0,1.0,0.0,1.0
PVL,265.0,117.0,148.0,0.0,0.0,0.0
PVM,115.0,85.0,30.0,0.0,0.0,0.0
PVP,543.0,226.0,317.0,0.0,1.0,-1.0
PVS,3244.0,1724.0,1520.0,77.0,39.0,38.0
PVT,2790.0,1382.0,1408.0,4.0,0.0,4.0
PVV,267.0,155.0,112.0,0.0,0.0,0.0
PWA,50.0,32.0,18.0,0.0,0.0,0.0
